"pol","day"
NA,2019-05-31
NA,2019-06-01
-0.408248290463863,2019-06-02
0,2019-06-02
-0.625543242171224,2019-06-02
-0.242535625036333,2019-06-02
-0.408248290463863,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
1,2019-06-02
0,2019-06-02
NA,2019-06-02
0,2019-06-02
-0.516397779494322,2019-06-02
0,2019-06-02
-0.632455532033676,2019-06-02
-0.408248290463863,2019-06-02
NA,2019-06-02
0,2019-06-02
0.377964473009227,2019-06-02
-0.5,2019-06-02
0,2019-06-02
0.5,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.267261241912424,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.242535625036333,2019-06-02
0,2019-06-02
0.577350269189626,2019-06-02
-0.5,2019-06-02
0.707106781186548,2019-06-02
0.301511344577764,2019-06-02
0,2019-06-02
-0.447213595499958,2019-06-02
0,2019-06-02
0,2019-06-02
-0.666666666666667,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
NA,2019-06-02
-0.377964473009227,2019-06-02
0,2019-06-02
0,2019-06-02
-0.707106781186547,2019-06-02
0,2019-06-02
0,2019-06-02
-1.47323675635804,2019-06-02
0.333333333333333,2019-06-02
0.25,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-1.13389341902768,2019-06-02
0.333333333333333,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-1,2019-06-02
-0.408248290463863,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.632455532033676,2019-06-02
0,2019-06-02
0,2019-06-02
NA,2019-06-02
-0.577350269189626,2019-06-02
0,2019-06-02
0.707106781186547,2019-06-02
0,2019-06-02
-0.447213595499958,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.32659863237109,2019-06-02
0.707106781186547,2019-06-02
0,2019-06-02
-0.534522483824849,2019-06-02
0.377964473009227,2019-06-02
1,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
NA,2019-06-02
1,2019-06-02
-0.267261241912424,2019-06-02
NA,2019-06-02
0,2019-06-02
0,2019-06-02
-0.577350269189626,2019-06-02
0.333333333333333,2019-06-02
0,2019-06-02
0,2019-06-02
0.377964473009227,2019-06-02
0.5,2019-06-02
0.707106781186547,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.258198889747161,2019-06-02
0,2019-06-02
0,2019-06-02
0.353553390593274,2019-06-02
0.852802865422442,2019-06-02
-0.408248290463863,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.277350098112615,2019-06-02
-0.408248290463863,2019-06-02
-0.603022689155527,2019-06-02
0,2019-06-02
-0.353553390593274,2019-06-02
0.447213595499958,2019-06-02
0,2019-06-02
0,2019-06-02
NA,2019-06-02
0,2019-06-02
-0.25,2019-06-02
0,2019-06-02
-0.493196961916072,2019-06-02
-0.25,2019-06-02
-0.542720420239975,2019-06-02
0.301511344577764,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.5,2019-06-02
-0.377964473009227,2019-06-02
-0.408248290463863,2019-06-02
-0.624695047554424,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.356034497458156,2019-06-02
0,2019-06-02
-1.13389341902768,2019-06-02
-0.204124145231932,2019-06-02
-0.41702882811415,2019-06-02
0.408248290463863,2019-06-02
NA,2019-06-02
-0.4,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.408248290463863,2019-06-02
-0.577350269189626,2019-06-02
0,2019-06-02
0,2019-06-02
-0.577350269189626,2019-06-02
0.4,2019-06-02
0,2019-06-02
0.5,2019-06-02
-0.577350269189626,2019-06-02
0.894427190999916,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.447213595499958,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.577350269189626,2019-06-02
-0.577350269189626,2019-06-02
0.408248290463863,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.353553390593274,2019-06-02
-0.377964473009227,2019-06-02
0,2019-06-02
0.447213595499958,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0.666666666666667,2019-06-02
0.577350269189626,2019-06-02
-0.408248290463863,2019-06-02
0.316227766016838,2019-06-02
-0.577350269189626,2019-06-02
0,2019-06-02
NA,2019-06-02
0,2019-06-02
-0.447213595499958,2019-06-02
-0.277350098112615,2019-06-02
-0.353553390593274,2019-06-02
0,2019-06-02
0,2019-06-02
0.577350269189626,2019-06-02
-0.316227766016838,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.377964473009227,2019-06-02
0,2019-06-02
0.408248290463863,2019-06-02
-0.685994340570035,2019-06-02
0,2019-06-02
0,2019-06-02
-0.301511344577764,2019-06-02
NA,2019-06-02
0,2019-06-02
0.707106781186547,2019-06-02
-0.242535625036333,2019-06-02
-0.516397779494322,2019-06-02
-0.577350269189626,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
0,2019-06-02
-0.235702260395516,2019-06-02
-0.970142500145332,2019-06-02
-0.408248290463863,2019-06-02
0.707106781186547,2019-06-02
0,2019-06-02
0,2019-06-02
NA,2019-06-02
NA,2019-06-02
