"pol","day"
-1.455213750218,2021-01-23
-1.45254607840513,2021-01-23
-1.50965882484814,2021-01-23
-1.31947231658895,2021-01-23
-2.05891085869462,2021-01-23
-1.46805054878676,2021-01-23
-1.60151443479242,2021-01-23
-1.45254607840513,2021-01-23
-1.44147072042336,2021-01-23
-1.35294117647059,2021-01-23
-1.48872833543853,2021-01-23
-1.56130751596868,2021-01-23
-1.45254607840513,2021-01-23
-1.34164078649987,2021-01-23
-1.50361882311222,2021-01-23
-1.54988401766952,2021-01-23
-1.61068496293411,2021-01-23
-1.01098072134311,2021-01-23
-1.54553957552219,2021-01-23
-1.53092290085646,2021-01-23
-1.3459731927555,2021-01-23
-1.42682536383837,2021-01-23
-1.57071744265846,2021-01-23
-1.54553957552219,2021-01-23
-1.59099025766973,2021-01-23
-1.45789617415389,2021-01-23
-1.58823529411765,2021-01-23
-1.50482316357211,2021-01-23
-1.61610681646852,2021-01-23
-1.0976425998969,2021-01-23
-1.40413989075433,2021-01-23
-1.36240241884591,2021-01-23
-1.70184505632701,2021-01-23
-1.49403576166799,2021-01-23
-1.44989302399242,2021-01-23
-1.35656020546613,2021-01-23
-1.60200375782963,2021-01-23
-1.45254607840513,2021-01-23
-1.32569796071974,2021-01-23
-1.78938669993514,2021-01-23
-1.31482248609257,2021-01-23
-1.32790561913614,2021-01-23
-2.17893884281137,2021-01-23
-1.51306883167201,2021-01-23
-1.50180883250567,2021-01-23
-1.44115338424578,2021-01-23
-1.57200077629687,2021-01-23
-1.23080333412395,2021-01-23
-1.42917920202099,2021-01-23
-1.60498340534996,2021-01-23
-1.36720808603886,2021-01-23
-2.17597069944622,2021-01-29
-2.17803420934516,2021-01-30
-2.14966790196174,2021-01-29
-2.23979855972053,2021-01-30
-2.02475779492607,2021-01-30
-2.17597069944622,2021-01-30
-2.03198719548545,2021-01-30
-2.18426014165259,2021-01-29
-2.18010360098474,2021-01-30
-2.25448592076271,2021-01-30
-2.17597069944622,2021-01-30
-2.1324512854573,2021-01-29
-2.18217890235992,2021-01-30
-2.22582248040712,2021-01-30
-2.18217890235992,2021-01-30
-2.18010360098474,2021-01-30
-2.18634734723313,2021-01-30
-2.18217890235992,2021-01-30
-2.18010360098474,2021-01-30
-2.18217890235992,2021-01-30
-2.14373231428136,2021-01-30
-2.16371161203958,2021-01-30
-2.18217890235992,2021-01-30
-2.18426014165259,2021-01-30
-2.17597069944622,2021-01-30
-2.18426014165259,2021-01-29
-2.19266126000097,2021-01-29
-2.15765926001052,2021-01-30
-2.22159489353206,2021-01-30
-2.18634734723313,2021-01-30
-2.18010360098474,2021-01-30
-2.21113042228651,2021-01-30
-2.18426014165259,2021-01-30
-2.21113042228651,2021-01-29
-2.17803420934516,2021-01-30
-2.12641887935346,2021-01-29
-2.15565306779613,2021-01-29
-2.12043737979879,2021-01-30
-2.16371161203958,2021-01-30
-2.18217890235992,2021-01-30
-2.13853532431273,2021-01-30
-2.16574040912105,2021-01-30
-2.04486874964306,2021-01-30
-2.05233179908326,2021-01-30
-2.18010360098474,2021-01-30
-2.22948160685261,2021-01-30
-2.17186121381535,2021-01-30
-2.13853532431273,2021-01-30
-2.18634734723313,2021-01-30
-2.18426014165259,2021-01-30
-2.16574040912105,2021-01-30
-2.22370567300443,2021-01-30
-2.11845473571887,2021-01-30
-2.27654493181406,2021-01-30
-2.17597069944622,2021-01-30
-1.96174209715475,2021-01-30
-2.16371161203958,2021-01-29
-2.26730774502413,2021-01-30
-2.18010360098474,2021-01-30
-2.17597069944622,2021-01-30
-2.18217890235992,2021-01-30
-2.08936702028498,2021-01-30
-2.12641887935346,2021-01-30
-2.12842398953904,2021-01-30
-2.17186121381535,2021-01-30
-2.17391304347826,2021-01-30
-2.18060253652596,2021-01-30
-2.11057941204435,2021-01-30
-2.16168850583558,2021-01-30
-2.2049222759523,2021-01-30
-2.18010360098474,2021-01-29
-2.18010360098474,2021-01-30
-2.21321148667401,2021-01-30
-2.16981518301373,2021-01-29
-2.18217890235992,2021-01-30
-2.17597069944622,2021-01-30
-2.18010360098474,2021-01-29
-2.16981518301373,2021-01-29
-2.18426014165259,2021-01-29
-2.22159489353206,2021-01-29
-2.18217890235992,2021-01-29
-2.17597069944622,2021-01-29
-2.12842398953904,2021-01-29
-2.18634734723313,2021-01-30
-2.17803420934516,2021-01-30
-2.18634734723313,2021-01-30
-2.12043737979879,2021-01-30
-2.1324512854573,2021-01-30
-2.21321148667401,2021-01-29
-2.17803420934516,2021-01-30
-2.08893187146837,2021-01-30
-2.18010360098474,2021-01-30
-2.22370567300443,2021-01-30
-2.20286448523247,2021-01-30
-2.25873566236796,2021-01-30
-2.17597069944622,2021-01-30
-2.17803420934516,2021-01-29
-2.22582248040712,2021-01-30
-2.22159489353206,2021-01-30
-2.16981518301373,2021-01-30
-2.17391304347826,2021-01-30
-2.20905521730347,2021-01-29
-2.17391304347826,2021-01-30
-2.27444769974124,2021-01-30
-2.16168850583558,2021-01-29
-2.16371161203958,2021-01-30
-2.18634734723313,2021-01-30
-2.18634734723313,2021-01-30
-2.17597069944622,2021-01-30
-2.18426014165259,2021-01-30
-2.17803420934516,2021-01-29
-2.18217890235992,2021-01-29
-2.18010360098474,2021-01-30
-2.15165741455968,2021-01-29
-2.18217890235992,2021-01-30
-2.11647764267433,2021-01-29
-2.17186121381535,2021-01-30
-2.25660779033428,2021-01-30
-2.17597069944622,2021-01-30
-2.17803420934516,2021-01-29
-2.13447352515826,2021-01-29
-2.18426014165259,2021-01-30
-2.17597069944622,2021-01-29
-2.18217890235992,2021-01-30
-2.21949011343515,2021-01-30
-2.12842398953904,2021-01-29
-2.17597069944622,2021-01-29
-2.17803420934516,2021-01-30
-2.14057493881954,2021-01-30
-2.1324512854573,2021-01-30
-2.12242560093863,2021-01-30
-2.22159489353206,2021-01-30
-2.24605790651154,2021-01-29
-2.21949011343515,2021-01-30
-2.21949011343515,2021-01-30
-2.26300952742407,2021-01-30
-2.22159489353206,2021-01-30
-2.11254000644021,2021-01-30
-2.11477467218907,2021-01-30
-2.18217890235992,2021-01-30
-2.18634734723313,2021-01-30
-2.18217890235992,2021-01-29
-2.18634734723313,2021-01-29
-2.29568483366831,2021-01-29
-2.18426014165259,2021-01-29
-2.17803420934516,2021-01-30
-2.18217890235992,2021-01-30
-2.17803420934516,2021-01-29
-2.18426014165259,2021-01-30
-2.16574040912105,2021-01-29
-2.18217890235992,2021-01-29
-2.17186121381535,2021-01-29
-2.09508871156416,2021-01-30
-2.18634734723313,2021-01-29
-2.15565306779613,2021-01-30
-2.17597069944622,2021-01-30
-2.26300952742407,2021-01-30
-2.18010360098474,2021-01-29
-2.1324512854573,2021-01-29
-2.18426014165259,2021-01-29
-2.18634734723313,2021-01-30
-2.20698584428037,2021-01-30
-2.16981518301373,2021-01-30
-2.2049222759523,2021-01-30
-2.17597069944622,2021-01-30
-2.20905521730347,2021-01-30
-1.99503889189664,2021-01-30
-2.17803420934516,2021-01-30
-2.11845473571887,2021-01-30
-2.10473021997903,2021-01-30
-2.21739130434783,2021-01-29
-2.16981518301373,2021-01-29
-2.1610462508008,2021-01-30
-2.12842398953904,2021-01-30
-2.18217890235992,2021-01-29
-2.17803420934516,2021-01-29
-2.10279126957208,2021-01-29
-2.12842398953904,2021-01-30
-2.18010360098474,2021-01-30
-2.17186121381535,2021-01-30
-2.17186121381535,2021-01-30
-2.17186121381535,2021-01-29
-2.1324512854573,2021-01-29
-2.15765926001052,2021-01-30
-2.19876612915206,2021-01-30
-2.18426014165259,2021-01-29
-2.21739130434783,2021-01-29
-2.21113042228651,2021-01-29
-2.17391304347826,2021-01-29
-2.28711881561115,2021-01-30
-2.18426014165259,2021-01-30
-2.48921944093507,2021-01-30
-2.18010360098474,2021-01-29
-2.18634734723313,2021-01-30
-2.17391304347826,2021-01-29
-2.1304347826087,2021-01-29
-2.18217890235992,2021-01-29
-2.21529843809165,2021-01-29
-2.18010360098474,2021-01-30
-2.20905521730347,2021-01-30
-2.12043737979879,2021-01-30
-2.29138981618572,2021-01-30
-2.1596710639534,2021-01-30
-2.18217890235992,2021-01-30
-2.21529843809165,2021-01-30
-2.16981518301373,2021-01-30
-2.18426014165259,2021-01-29
-2.18010360098474,2021-01-29
-2.18426014165259,2021-01-30
-2.17186121381535,2021-01-30
-2.17186121381535,2021-01-30
-2.25448592076271,2021-01-30
-2.18217890235992,2021-01-30
-2.2049222759523,2021-01-30
-2.18010360098474,2021-01-30
-2.17803420934516,2021-01-30
-2.22159489353206,2021-01-30
-2.16981518301373,2021-01-30
-2.18217890235992,2021-01-29
-2.13650152896504,2021-01-30
-2.19469056285087,2021-01-29
-2.17597069944622,2021-01-29
-2.17803420934516,2021-01-29
-2.18426014165259,2021-01-30
-2.16371161203958,2021-01-30
-2.17597069944622,2021-01-30
-2.06942694508429,2021-01-30
-2.17186121381535,2021-01-30
-2.06559111797729,2021-01-30
-2.50158115136822,2021-01-30
-2.17803420934516,2021-01-29
-2.19876612915206,2021-01-30
-2.18426014165259,2021-01-29
-2.18426014165259,2021-01-29
-2.21529843809165,2021-01-30
-2.11450607481031,2021-01-30
-2.17597069944622,2021-01-30
-2.17803420934516,2021-01-29
-2.18217890235992,2021-01-30
-2.17803420934516,2021-01-30
-2.1677749238103,2021-01-30
-2.17803420934516,2021-01-30
-2.17597069944622,2021-01-30
-2.043015673821,2021-01-30
-2.17597069944622,2021-01-30
-2.21113042228651,2021-01-30
-2.18426014165259,2021-01-30
-2.18217890235992,2021-01-30
-2.17803420934516,2021-01-30
-2.20286448523247,2021-01-30
-2.25026007652116,2021-01-30
-2.17803420934516,2021-01-29
-2.18426014165259,2021-01-30
-2.17803420934516,2021-01-30
-2.04830553276496,2021-01-30
-2.11450607481031,2021-01-30
-2.26086956521739,2021-01-29
-2.18426014165259,2021-01-29
-2.18426014165259,2021-01-29
-2.18861948465666,2021-01-30
-2.21739130434783,2021-01-30
-2.18634734723313,2021-01-30
-2.18010360098474,2021-01-30
-2.08777375439269,2021-01-30
-2.12242560093863,2021-01-30
-2.15765926001052,2021-01-30
-2.14373231428136,2021-01-30
-2.18259851180566,2021-01-30
-2.2049222759523,2021-01-29
-2.18426014165259,2021-01-29
-2.22159489353206,2021-01-29
-2.12641887935346,2021-01-30
-2.1324512854573,2021-01-30
-2.17391304347826,2021-01-30
-2.18217890235992,2021-01-30
-2.12641887935346,2021-01-30
-2.13447352515826,2021-01-30
-2.18217890235992,2021-01-30
-2.29849022726675,2021-01-30
-2.4151675120601,2021-01-30
-2.17391304347826,2021-01-29
-2.18217890235992,2021-01-30
-2.22370567300443,2021-01-30
-2.17391304347826,2021-01-30
-2.07036727761203,2021-01-30
-2.18426014165259,2021-01-30
-2.16574040912105,2021-01-30
-2.18217890235992,2021-01-30
-2.2049222759523,2021-01-30
-2.17391304347826,2021-01-30
-2.21113042228651,2021-01-30
-2.13447352515826,2021-01-30
-2.21949011343515,2021-01-30
-2.21529843809165,2021-01-31
-2.17391304347826,2021-01-30
-2.1596710639534,2021-01-30
-2.16371161203958,2021-01-30
-2.1677749238103,2021-01-30
-2.16371161203958,2021-01-30
-2.28711881561115,2021-01-30
-2.17186121381535,2021-01-30
-2.18426014165259,2021-01-30
-2.19876612915206,2021-01-30
-2.20905521730347,2021-01-30
-2.16574040912105,2021-01-30
-2.17391304347826,2021-01-30
-2.21739130434783,2021-01-30
-2.45663979576087,2021-01-30
-2.12242560093863,2021-01-30
-2.17597069944622,2021-01-30
-2.07078841640646,2021-01-30
-2.28711881561115,2021-01-30
-2.21739130434783,2021-01-30
-2.15365246126974,2021-01-30
-2.17803420934516,2021-01-30
-2.16371161203958,2021-01-30
-2.17803420934516,2021-01-30
-2.17597069944622,2021-01-30
-2.13447352515826,2021-01-30
-2.17186121381535,2021-01-30
-2.17803420934516,2021-01-30
-2.12043737979879,2021-01-29
-2.27215022977502,2021-01-30
-2.18426014165259,2021-01-30
-2.17597069944622,2021-01-30
-2.18426014165259,2021-01-30
-2.18010360098474,2021-01-30
-2.17391304347826,2021-01-30
-2.11845473571887,2021-01-30
-2.21321148667401,2021-01-30
-2.17803420934516,2021-01-30
-2.16371161203958,2021-01-30
-2.1596710639534,2021-01-30
-2.17597069944622,2021-01-30
-2.15365246126974,2021-01-30
-2.17597069944622,2021-01-30
-2.1677749238103,2021-01-30
-2.12842398953904,2021-01-30
-2.17597069944622,2021-01-30
-2.17803420934516,2021-01-30
-2.20905521730347,2021-01-30
-2.29568483366831,2021-01-30
-2.19266126000097,2021-01-30
-2.18217890235992,2021-01-30
-2.16981518301373,2021-01-30
-2.10279126957208,2021-01-30
-2.17597069944622,2021-01-30
-2.17597069944622,2021-01-30
-2.18426014165259,2021-01-30
-2.21321148667401,2021-01-30
-2.1304347826087,2021-01-30
